Month,Sendai_DaysSnowfall_day,Sendai_AmountSnowfall_cm,Sendai_MinimumTemperature_C,Sendai_MaximumTemperature_C,Sapporo_DaysSnowfall_day,Sapporo_AmountSnowfall_cm,Sapporo_MinimumTemperature_C,Sapporo_MaximumTemperature_C
Jan-61,15,29,-9.2,10.3,31,138,-15.4,3.5
Feb-61,14,22,-8,14.4,28,97,-14.2,4.9
Mar-61,3,21,-4.6,19.2,29,64,-9.4,10.2
Apr-61,0,0,-0.9,25.3,2,2,-2.7,27.6
May-61,0,0,6.3,33.2,0,0,1.5,28.3
Jun-61,0,0,9.1,30.5,0,0,3.2,29.7
Jul-61,0,0,16.9,36.6,0,0,13.3,32.4
Aug-61,0,0,15.4,34.9,0,0,11.2,32.4
Sep-61,0,0,10.8,34.7,0,0,8.5,28.5
Oct-61,0,0,3.4,26.1,0,0,-3,22
Nov-61,0,0,-0.9,20.1,13,25,-6.4,16.6
Dec-61,9,17,-4,16.1,29,50,-10.1,12.2
Jan-62,12,36,-5.7,10.9,31,200,-15.2,5.5
Feb-62,8,24,-6.1,20.7,28,70,-15.3,8.4
Mar-62,6,15,-4.5,15.1,31,95,-11.1,8.1
Apr-62,0,0,-1.9,23.7,1,0,-2.5,22.8
May-62,0,0,3.1,28.2,0,0,2.3,26.3
Jun-62,0,0,11.5,27.4,0,0,7.9,30.2
Jul-62,0,0,13.8,34.9,0,0,9.6,29.9
Aug-62,0,0,15.9,34.5,0,0,9,32.8
Sep-62,0,0,8.2,31.4,0,0,5.8,26.7
Oct-62,0,0,2.9,26.8,0,0,-0.7,22.7
Nov-62,0,0,-2.4,21.3,6,63,-9.5,19
Dec-62,2,5,-3.1,14,31,57,-13.3,9
Jan-63,16,23,-6.3,9.7,31,108,-14.6,2.8
Feb-63,8,32,-5.8,12.3,28,95,-13.8,5.7
Mar-63,3,2,-5.4,20.4,20,52,-10.4,12.1
Apr-63,0,0,-1.1,24.5,6,18,-1.9,19.6
May-63,0,0,3.2,30.5,2,0,0.7,25.2
Jun-63,0,0,9,33,0,0,6.1,26.4
Jul-63,0,0,15.5,30.5,0,0,10.4,32.6
Aug-63,0,0,17,34.2,0,0,13.7,29.7
Sep-63,0,0,9.2,28.8,0,0,5.7,27.1
Oct-63,0,0,4,23.2,0,0,-0.5,20.2
Nov-63,0,0,-2.2,20.7,6,29,-5.4,17.6
Dec-63,3,4,-3.6,16.6,27,76,-8,11.2
Jan-64,10,38,-4.5,11.4,31,165,-14.9,6.4
Feb-64,22,43,-4.5,7.3,29,184,-17.8,1.3
Mar-64,6,13,-3.8,17.4,25,24,-10.2,13.8
Apr-64,0,0,1.2,22.2,3,7,-6,21.7
May-64,0,0,6.3,28.6,0,0,3.6,25.1
Jun-64,0,0,8.5,30.4,0,0,9.3,29.8
Jul-64,0,0,15.2,34.3,0,0,10.7,31.9
Aug-64,0,0,18.8,32.8,0,0,11.1,29.4
Sep-64,0,0,10.5,29.7,0,0,0.8,24.9
Oct-64,0,0,1.5,22.7,3,15,-1.9,21.8
Nov-64,0,0,-1.5,22,10,46,-5.7,14.8
Dec-64,4,0,-4,12.1,31,145,-14.1,9
Jan-65,7,6,-6,9.4,31,117,-11.4,5.1
Feb-65,14,10,-5.9,14.1,28,179,-13.8,5.1
Mar-65,12,9,-5.4,18.2,31,99,-17.1,7.8
Apr-65,2,1,-1.3,23.9,10,12,-4.1,18
May-65,0,0,2.1,27.3,0,0,2.1,24.1
Jun-65,0,0,9.4,29.8,0,0,5.9,28
Jul-65,0,0,13.9,31.9,0,0,12,29
Aug-65,0,0,15.9,31.4,0,0,13,32
Sep-65,0,0,11.8,28.6,0,0,8.2,28.9
Oct-65,0,0,5.6,24.8,0,0,-0.2,20.9
Nov-65,1,1,-0.8,22.4,13,35,-4.5,16.6
Dec-65,10,20,-4.3,16.7,27,73,-10.7,8.6
Jan-66,11,10,-6.4,10,31,235,-18,4.3
Feb-66,7,3,-6.9,14.5,28,98,-15.2,6.4
Mar-66,7,6,-2.2,20.2,31,89,-8.6,9.4
Apr-66,0,0,-1.5,25.1,3,2,-3.9,22
May-66,0,0,4.3,28.8,0,0,1,28.6
Jun-66,0,0,8.1,31.4,0,0,5.8,29
Jul-66,0,0,12.4,34.6,0,0,10.1,30.3
Aug-66,0,0,15.4,31.9,0,0,14.5,33.8
Sep-66,0,0,9.4,30.7,0,0,6.7,26.4
Oct-66,0,0,5.4,24.9,0,0,1.2,25
Nov-66,1,3,-2.1,22.7,8,35,-4.3,17.9
Dec-66,15,40,-6.6,12.7,31,235,-16.3,4.1
Jan-67,21,60,-10.2,14.4,31,153,-19.2,7.1
Feb-67,13,15,-8.8,18.4,28,40,-16.6,6.9
Mar-67,4,5,-4.8,20,29,40,-11.6,12.4
Apr-67,0,0,-0.9,20.9,3,8,-5.2,23.7
May-67,0,0,6.5,25.6,0,0,5.2,30.4
Jun-67,0,0,9.8,28.5,0,0,7.5,29.1
Jul-67,0,0,11,31.7,0,0,8.7,33
Aug-67,0,0,17.5,33.8,0,0,13.5,30.6
Sep-67,0,0,11.3,29.4,0,0,6.3,27.8
Oct-67,0,0,5,23.5,0,0,-0.4,23.8
Nov-67,0,0,-2.1,18.9,18,33,-7.3,17
Dec-67,10,12,-6.9,13,29,100,-11.6,10
Jan-68,7,9,-5.4,12.2,31,134,-12.8,6.9
Feb-68,19,26,-7.2,9.6,29,134,-16.3,3.9
Mar-68,3,0,-3.6,18.3,25,15,-7.3,14.3
Apr-68,0,0,1.1,20.7,0,0,-2.7,17.4
May-68,0,0,4.8,22.2,0,0,0.6,24.3
Jun-68,0,0,9.4,27.8,0,0,6.8,28.8
Jul-68,0,0,13.6,35.4,0,0,7,32.1
Aug-68,0,0,16,31.3,0,0,11.6,30.2
Sep-68,0,0,11.1,28.1,0,0,7.2,26.3
Oct-68,0,0,4.4,25.5,1,0,-1.4,24.3
Nov-68,0,0,-0.6,21,5,12,-5.8,18
Dec-68,4,4,-4.6,18.6,19,75,-11,13.9
Jan-69,15,31,-8.6,14.8,31,105,-13.9,5.2
Feb-69,19,44,-8.4,15.7,28,128,-13.8,10.2
Mar-69,15,59,-6.2,22.3,30,46,-12.2,14.6
Apr-69,0,0,-0.4,28.1,6,14,-5.6,23.1
May-69,0,0,4.1,29,0,0,2.1,26.7
Jun-69,0,0,9.1,26.6,0,0,5.9,27.6
Jul-69,0,0,13.6,30.8,0,0,10.9,33.4
Aug-69,0,0,17.7,33.4,0,0,10.8,27.2
Sep-69,0,0,8.9,31.8,0,0,4.3,27.6
Oct-69,0,0,4.6,22.7,0,0,-0.6,20.1
Nov-69,0,0,-2.4,22.5,9,48,-8.3,18.3
Dec-69,6,4,-7.1,15.9,30,94,-17.9,7.6
Jan-70,8,1,-7,12.7,31,137,-18.1,3.6
Feb-70,16,46,-6.2,13.9,28,83,-11.4,7.5
Mar-70,13,18,-8.5,15.1,31,153,-15.4,7.6
Apr-70,0,0,-1,22,13,6,-5.8,19.6
May-70,0,0,5.7,28,0,0,1.7,26.5
Jun-70,0,0,8.9,28,0,0,5,27.3
Jul-70,0,0,12.7,34,0,0,11.5,32.9
Aug-70,0,0,17.4,33.1,0,0,12.2,30.7
Sep-70,0,0,8.9,31.9,0,0,6,28.3
Oct-70,0,0,3,25.3,0,0,-1.3,23.7
Nov-70,2,2,-5,20.1,9,33,-7.1,15.5
Dec-70,5,5,-6.5,16.9,31,66,-14.6,11.6
Jan-71,5,17,-5.8,12.5,31,169,-15.7,6.8
Feb-71,9,9,-7.2,10.3,28,61,-15.6,6.3
Mar-71,8,26,-6.8,18.1,28,50,-9.2,11.8
Apr-71,0,0,-1,21.5,2,1,-1.1,21.9
May-71,0,0,1.8,30,1,0,0.3,26.6
Jun-71,0,0,12.1,26.8,0,0,5.7,25.8
Jul-71,0,0,16,34.8,0,0,11.9,31.7
Aug-71,0,0,13.9,32.2,0,0,8.8,32.1
Sep-71,0,0,11.1,27,0,0,8.1,23.8
Oct-71,0,0,3.9,21.1,0,0,0.5,19.8
Nov-71,1,1,-2,19.8,6,17,-8.6,17.8
Dec-71,3,2,-4.2,15.2,31,111,-9.1,10.5
Jan-72,5,10,-6,13.2,31,195,-14.1,6.1
Feb-72,14,35,-6.2,10.9,29,173,-13.2,3.7
Mar-72,3,3,-2.3,18.9,29,27,-12.6,9.7
Apr-72,0,0,-2.3,28.4,3,19,-5,21.3
May-72,0,0,5.1,24.7,0,0,2.3,25.6
Jun-72,0,0,7.7,27.1,0,0,5.8,28.7
Jul-72,0,0,14.6,32.3,0,0,13.1,31.6
Aug-72,0,0,16.1,34,0,0,12.2,35.1
Sep-72,0,0,10.1,28.6,0,0,5.5,28
Oct-72,0,0,6.7,23.2,0,0,2.2,21.9
Nov-72,0,0,1,18.9,12,24,-4.9,13.9
Dec-72,1,0,-3.5,17.6,21,52,-8.3,8.9
Jan-73,5,10,-4.1,15.4,31,130,-13.4,4.5
Feb-73,6,6,-6.2,15.1,28,96,-14.2,7.7
Mar-73,6,6,-4.3,16.9,31,90,-14.1,9
Apr-73,0,0,0.7,25,1,0,-2,20.7
May-73,0,0,5,26.8,0,0,2,27.1
Jun-73,0,0,8.4,24.5,0,0,4.1,25.3
Jul-73,0,0,16.9,34.1,0,0,12.8,33.4
Aug-73,0,0,21,35.9,0,0,14.2,32.7
Sep-73,0,0,13,32.4,0,0,7.3,25.2
Oct-73,0,0,4.8,25.8,0,0,2,24.1
Nov-73,3,2,-1.2,18,14,32,-7,16.8
Dec-73,11,19,-5.7,13.3,31,82,-11.5,9.1
Jan-74,16,43,-7,10,31,113,-14.3,5.3
Feb-74,19,64,-8.3,10,28,106,-12,5.5
Mar-74,10,17,-4.7,13.8,31,44,-8.9,8.2
Apr-74,0,0,0.9,21.1,3,20,-1.4,19.7
May-74,0,0,4.2,25.4,0,0,2.2,26.7
Jun-74,0,0,12,27,0,0,8.7,25
Jul-74,0,0,14.6,30.1,0,0,11.1,32.3
Aug-74,0,0,18.5,33.8,0,0,13.2,31.4
Sep-74,0,0,10.4,30.1,0,0,6.8,29.1
Oct-74,0,0,4.1,23.7,0,0,-0.3,19.2
Nov-74,1,0,-1.1,18.7,11,35,-8.3,14
Dec-74,12,17,-3.2,9.9,31,133,-11.9,5.2
Jan-75,12,19,-5.9,9.2,31,140,-14.7,4.9
Feb-75,14,44,-6.2,10.4,28,80,-14.8,5
Mar-75,5,17,-4.1,15.7,31,44,-13.2,8.1
Apr-75,0,0,0.8,20.1,2,0,-4.7,22.4
May-75,0,0,7,24,0,0,3.1,25.8
Jun-75,0,0,13.3,26.5,0,0,9.8,27.4
Jul-75,0,0,15.5,33.7,0,0,12.7,29.7
Aug-75,0,0,15.7,34.9,0,0,12.4,32.7
Sep-75,0,0,10.6,31.7,0,0,4.8,28.6
Oct-75,0,0,4.7,24.5,1,1,0,22.4
Nov-75,0,0,1.7,19.9,4,26,-6.8,14.1
Dec-75,4,9,-4.4,13.8,29,111,-11.7,10.1
Jan-76,14,13,-10.1,14.5,31,147,-13.4,6.9
Feb-76,10,23,-6.3,14.5,29,75,-15.5,6.7
Mar-76,1,2,-2.9,17.6,31,76,-10.5,11.2
Apr-76,0,0,-0.6,22,7,1,-5.6,16.9
May-76,0,0,4.6,28.2,0,0,1.8,26.8
Jun-76,0,0,10.7,27.6,0,0,7,26.6
Jul-76,0,0,9,30.9,0,0,9,34.4
Aug-76,0,0,14.1,32.4,0,0,10.6,30
Sep-76,0,0,9.8,27.8,0,0,5.8,24.6
Oct-76,0,0,5.1,23.1,0,0,1.2,20.6
Nov-76,1,0,-1.4,22.8,14,23,-5.2,18.7
Dec-76,12,67,-8.7,11.9,24,122,-12.1,6.5
Jan-77,30,24,-9.3,5.8,31,173,-19.1,0.3
Feb-77,13,16,-8.3,16,28,102,-17.9,5.6
Mar-77,6,6,-6.1,19,28,52,-13.7,10
Apr-77,1,2,-0.4,21.9,5,11,-2.2,18.1
May-77,0,0,5.4,23,1,0,0.4,27
Jun-77,0,0,10.3,26.6,0,0,7.7,27.1
Jul-77,0,0,15.7,32.8,0,0,12.7,34
Aug-77,0,0,16.8,33,0,0,11.8,29.4
Sep-77,0,0,10,30,0,0,5.6,29.3
Oct-77,0,0,5.7,26.8,0,0,0.1,22.4
Nov-77,0,0,-0.4,22.9,2,5,-4,13.5
Dec-77,3,8,-4.6,16.9,26,89,-11.7,10.8
Jan-78,18,35,-7.5,12.2,31,231,-13.7,3.6
Feb-78,19,23,-8.8,8.6,28,153,-19.4,0.7
Mar-78,4,17,-2.4,16,31,108,-10.5,13.9
Apr-78,2,2,-2.4,20.9,10,9,-6,17.3
May-78,0,0,7.2,27.6,0,0,3.5,26.3
Jun-78,0,0,10.5,29.8,0,0,6.4,28.8
Jul-78,0,0,17.3,34.3,0,0,15.3,32.7
Aug-78,0,0,17.9,35.7,0,0,12.3,35.2
Sep-78,0,0,12.8,33.3,0,0,6.9,26.6
Oct-78,0,0,3.9,25.6,2,5,0.4,25.8
Nov-78,0,0,1.1,19.5,3,3,-3,16.9
Dec-78,3,3,-4,16.3,30,82,-13.1,10
Jan-79,9,27,-6.4,16.7,31,143,-14,6.2
Feb-79,2,2,-2.8,16.3,28,127,-9.6,5.5
Mar-79,1,0,-2,16.9,31,67,-9.7,6.6
Apr-79,0,0,-0.1,23.3,10,40,-4.8,12.1
May-79,0,0,6.1,29.5,0,0,4.1,25.4
Jun-79,0,0,9.5,32.5,0,0,6.5,27.7
Jul-79,0,0,14.9,33.8,0,0,8.7,30.6
Aug-79,0,0,18.3,35,0,0,13,32
Sep-79,0,0,12.5,30.1,0,0,7.2,26
Oct-79,0,0,7.1,27.8,0,0,1.2,21.3
Nov-79,0,0,0.8,24.4,8,27,-5.4,19.2
Dec-79,2,2,-2,16.2,24,50,-11,13.8
Jan-80,14,11,-5.5,11.9,31,143,-11.4,7.7
Feb-80,20,58,-7.9,9.5,29,244,-13.7,3.8
Mar-80,6,12,-4,17.1,31,109,-8.6,12.9
Apr-80,1,0,-0.4,21,11,11,-2.8,14.8
May-80,0,0,6.5,28.5,0,0,0.7,27.2
Jun-80,0,0,13.6,29.9,0,0,7.6,31
Jul-80,0,0,14.3,33.9,0,0,13,28.8
Aug-80,0,0,13.4,29.7,0,0,12.1,29.2
Sep-80,0,0,10.5,29.7,0,0,5.1,25.9
Oct-80,0,0,3.5,27.1,0,0,1,23.7
Nov-80,0,0,-0.7,18.7,7,10,-3.1,16.8
Dec-80,16,74,-2.2,16,28,134,-9.5,12.4
Jan-81,19,20,-6.1,7.4,31,273,-12.8,1.4
Feb-81,15,39,-6.3,13.3,28,62,-13.2,4.9
Mar-81,6,8,-4.4,17.9,31,136,-11.4,10.8
Apr-81,0,0,-1,24.1,10,2,-2.7,20.8
May-81,0,0,5.6,29.4,0,0,3.5,24.1
Jun-81,0,0,9.1,25.3,0,0,5.4,27.7
Jul-81,0,0,15.7,33.3,0,0,13.3,32.6
Aug-81,0,0,16.3,33.6,0,0,14.2,34
Sep-81,0,0,9.1,28.8,0,0,6.3,24.5
Oct-81,0,0,5,23.8,0,0,0.9,23.5
Nov-81,0,0,-1.8,19,17,47,-6.3,14.4
Dec-81,8,13,-3.2,14.8,31,111,-10.6,8.7
Jan-82,10,15,-5.7,10,31,193,-13.4,7
Feb-82,13,22,-8.6,12.3,28,167,-16.4,5.3
Mar-82,3,3,-3.4,16.5,31,73,-7.4,12.9
Apr-82,0,0,1.2,21.8,10,22,-4.2,18.8
May-82,0,0,7.9,30.1,0,0,4.4,24.4
Jun-82,0,0,10.1,30.5,0,0,6.4,27.4
Jul-82,0,0,14,29.5,0,0,12.8,31.9
Aug-82,0,0,18.5,30.8,0,0,17.6,30.8
Sep-82,0,0,13.1,28.4,0,0,9.7,27.9
Oct-82,0,0,5.7,24.6,0,0,2.2,23.1
Nov-82,1,2,-1.1,20.8,7,24,-7.6,17.2
Dec-82,2,3,-2,16,27,82,-6,8.4
Jan-83,12,13,-6.7,14.4,31,88,-11.4,8.4
Feb-83,21,31,-6.5,8,28,194,-13.5,3.4
Mar-83,5,15,-2,13.5,31,92,-9.1,12.5
Apr-83,0,0,3,28.2,1,0,1,20.8
May-83,0,0,6.3,27.8,0,0,2,26.2
Jun-83,0,0,10.8,26.5,0,0,6.4,21.8
Jul-83,0,0,11.9,30.9,0,0,10.2,27
Aug-83,0,0,17.2,32.9,0,0,13.4,34.8
Sep-83,0,0,11.4,30.4,0,0,5.9,29.4
Oct-83,0,0,1.5,25.9,3,3,0,21.8
Nov-83,3,0,-2.2,19,6,3,-5.6,14.7
Dec-83,1,0,-4.7,14.6,29,41,-11.5,7.6
Jan-84,19,42,-6.7,8.3,31,117,-15,3.4
Feb-84,27,81,-8.1,5.9,29,239,-15.1,1.2
Mar-84,20,23,-4.6,9.8,31,121,-10,3.9
Apr-84,2,2,-2,19.9,16,31,-4.8,20.7
May-84,0,0,5.8,21.5,0,0,3.1,26.1
Jun-84,0,0,12.8,26.9,0,0,7.9,29
Jul-84,0,0,14.8,33.9,0,0,13.3,32.4
Aug-84,0,0,18.1,33.7,0,0,13.7,32.6
Sep-84,0,0,10.9,33.3,0,0,8.1,26.6
Oct-84,0,0,2.4,27.4,1,1,0.8,23.3
Nov-84,0,0,-2.3,19.6,11,12,-5.4,17.7
Dec-84,9,23,-6.3,14.1,21,40,-12.8,10.6
Jan-85,11,4,-7.6,10.4,31,265,-16.8,3.2
Feb-85,8,29,-3.7,11.7,28,124,-10.6,4
Mar-85,11,47,-3.5,15.1,31,43,-9.7,7.8
Apr-85,0,0,0.1,21.5,3,3,-1.7,18.2
May-85,0,0,5.7,26.4,0,0,4.2,29.7
Jun-85,0,0,8.7,28.8,0,0,6.3,28.1
Jul-85,0,0,17.2,35,0,0,12.8,33.3
Aug-85,0,0,20.6,33.6,0,0,18.2,34.7
Sep-85,0,0,11.5,36,0,0,7.3,26.7
Oct-85,0,0,2.6,25.7,0,0,0,22.1
Nov-85,2,3,-2.1,21.3,9,30,-5.3,14.7
Dec-85,3,6,-4.5,15.8,31,183,-13.4,9.4
Jan-86,16,9,-7.1,10.5,31,158,-15.3,7.1
Feb-86,12,31,-7.7,8.2,28,100,-14.4,3
Mar-86,12,18,-5,16.3,31,55,-16.2,7.1
Apr-86,0,0,0.2,19.8,5,0,-2.6,19.1
May-86,0,0,6.7,29.2,0,0,3.9,25.3
Jun-86,0,0,10.6,26.3,0,0,7.2,28.3
Jul-86,0,0,13.8,32.2,0,0,11.2,33.7
Aug-86,0,0,16.8,30.8,0,0,14,32.7
Sep-86,0,0,12.8,32.2,0,0,7.8,29.6
Oct-86,0,0,3.1,24.1,5,14,0.1,22.1
Nov-86,0,0,-1.3,19.5,14,38,-4,15.1
Dec-86,3,7,-3.6,14.7,30,99,-9.3,6.7
Jan-87,15,28,-6.3,12.5,31,173,-13.7,6.7
Feb-87,15,42,-5.8,17.5,28,130,-13.7,7.3
Mar-87,7,4,-5,16.4,31,56,-7.2,10.5
Apr-87,0,0,-1.4,21.6,6,14,-5.3,23.4
May-87,0,0,5.4,26.9,0,0,0.9,25.8
Jun-87,0,0,12.3,33.7,0,0,8.4,29.5
Jul-87,0,0,15.8,35.6,0,0,13.7,30
Aug-87,0,0,17.7,31.4,0,0,15,30.1
Sep-87,0,0,12.1,29.7,0,0,6.8,26.3
Oct-87,0,0,6,24.9,0,0,2.5,26.4
Nov-87,0,0,-1,18.7,6,6,-7.5,14.3
Dec-87,4,6,-3.5,18.5,31,135,-12.2,8.4
Jan-88,13,32,-4.8,13.2,31,108,-11,7.1
Feb-88,9,8,-7.1,10.7,29,185,-13.6,3.6
Mar-88,5,2,-3.7,18.3,31,41,-11.6,9.9
Apr-88,2,6,-0.8,24.5,2,1,-2.4,23.5
May-88,0,0,5.2,27.9,0,0,3,23.7
Jun-88,0,0,12.7,27.7,0,0,9.8,28.4
Jul-88,0,0,14.1,29.9,0,0,11.4,28.8
Aug-88,0,0,17.7,31.6,0,0,14.4,32.6
Sep-88,0,0,15.1,27.8,0,0,8.1,25.7
Oct-88,0,0,5,22.9,0,0,1.8,21.3
Nov-88,0,0,0.1,16.6,11,14,-5.2,14.4
Dec-88,2,5,-2.2,15.4,27,179,-8.4,11.4
Jan-89,9,12,-4.5,11.8,31,54,-10.4,6.5
Feb-89,9,20,-2.9,12.6,28,44,-10.1,6.5
Mar-89,1,0,-2.4,17.5,18,20,-4.7,12.7
Apr-89,0,0,1.8,24.4,0,0,-0.3,19.6
May-89,0,0,6.7,28.6,0,0,3.9,24
Jun-89,0,0,9.2,27.5,0,0,5.5,27.2
Jul-89,0,0,11.9,30.4,0,0,10.3,32.8
Aug-89,0,0,18.5,31.2,0,0,15.7,33.2
Sep-89,0,0,12,32.2,0,0,9.4,28.7
Oct-89,0,0,5.9,23.1,0,0,2.7,21.1
Nov-89,0,0,2,20.2,1,4,-1.6,17.3
Dec-89,5,5,-1.5,18.3,27,123,-9.7,14.8
Jan-90,10,8,-6.7,13.1,31,196,-15.6,6.9
Feb-90,4,5,-6.3,13.7,28,74,-9.8,8.3
Mar-90,1,6,-1.3,16.7,20,14,-3.7,12.6
Apr-90,0,0,1.8,21.5,2,2,-0.1,22.1
May-90,0,0,7.5,27.6,0,0,3.2,28.7
Jun-90,0,0,13.4,30.6,0,0,8.4,27.9
Jul-90,0,0,14.4,33.4,0,0,12.9,31.4
Aug-90,0,0,18.7,35.6,0,0,16.6,32.3
Sep-90,0,0,15,32.5,0,0,10.5,32.7
