Month,Sendai_DaysSnowfall_day,Sendai_AmountSnowfall_cm,Sendai_MinimumTemperature_C,Sendai_MaximumTemperature_C,Sapporo_DaysSnowfall_day,Sapporo_AmountSnowfall_cm,Sapporo_MinimumTemperature_C,Sapporo_MaximumTemperature_C
Oct-90,0,0,6.8,26.7,0,0,4,22.3
Nov-90,0,0,1.3,22.4,3,15,-2.7,19
Dec-90,1,0,-0.4,21.8,24,146,-7.3,13.3
Jan-91,12,9,-3.3,11.2,31,250,-7.2,4.4
Feb-91,15,36,-6.1,14.4,28,152,-16,5.8
Mar-91,6,17,-2.7,20.2,31,74,-7.4,11
Apr-91,0,0,-1.2,24.2,6,0,-2.2,21.7
May-91,0,0,4.7,27.2,0,0,1.8,28.1
Jun-91,0,0,13.6,32.6,0,0,11.6,30.3
Jul-91,0,0,16,33.3,0,0,14.6,30.9
Aug-91,0,0,14.6,33.4,0,0,13,30.1
Sep-91,0,0,12.9,30.7,0,0,8.9,28.7
Oct-91,0,0,7.1,26.4,0,0,2.4,23.2
Nov-91,0,0,0.7,17.5,7,4,-4.7,15.6
Dec-91,4,13,-2.5,16.1,27,135,-9.3,12.2
Jan-92,11,14,-3.5,10.6,31,109,-11.3,5.5
Feb-92,6,21,-4.5,11.6,29,74,-12.3,7.4
Mar-92,12,57,-2.9,14.8,28,60,-8,14.3
Apr-92,0,0,2.4,27.3,0,0,-1.2,18.1
May-92,0,0,1.8,23.8,0,0,3.6,24.4
Jun-92,0,0,11,26,0,0,9.2,28.3
Jul-92,0,0,15.5,36.2,0,0,14.9,30.6
Aug-92,0,0,17.3,31.7,0,0,13.8,29.7
Sep-92,0,0,10.2,31.4,0,0,5.4,26.5
Oct-92,0,0,6.5,23.6,0,0,4.1,23.7
Nov-92,0,0,-0.2,18.7,10,43,-5.9,15.1
Dec-92,6,9,-1.8,16.7,25,90,-7.6,12.8
Jan-93,10,16,-2.2,14.1,31,117,-11.6,5.2
Feb-93,8,8,-3,19.6,28,174,-9.4,5.2
Mar-93,5,9,-4,15.5,31,41,-6.8,11
Apr-93,0,0,1.2,22.2,12,5,-0.9,19.7
May-93,0,0,3.5,26,0,0,3.2,22.4
Jun-93,0,0,11.9,29.2,0,0,9.9,24.6
Jul-93,0,0,12.6,29.1,0,0,11,27.7
Aug-93,0,0,15.4,30.2,0,0,12.9,30.1
Sep-93,0,0,11.9,28.4,0,0,10,25.6
Oct-93,0,0,2.9,26.1,0,0,1.9,21.4
Nov-93,0,0,1.3,22.5,6,9,-2.8,17.3
Dec-93,3,11,-3.3,17.7,30,62,-9.4,8.3
Jan-94,9,14,-6.4,12.9,31,128,-14,2.6
Feb-94,10,19,-4.2,12.6,28,226,-9.3,7.4
Mar-94,3,0,-2.8,15.6,31,146,-9,10.8
Apr-94,1,0,-0.3,24.2,13,0,-1.2,20.2
May-94,0,0,6.7,26.2,0,0,4.1,29.2
Jun-94,0,0,11.8,29.8,0,0,9.6,28.1
Jul-94,0,0,16.6,33.3,0,0,13.6,32.2
Aug-94,0,0,18.8,35.9,0,0,17.6,36.2
Sep-94,0,0,14.4,30.7,0,0,11.8,30.1
Oct-94,0,0,4.5,26.8,0,0,1.6,22.5
Nov-94,0,0,-0.1,20.7,10,38,-4.1,17
Dec-94,3,3,-4.5,15.5,28,107,-10.2,12.1
Jan-95,14,14,-5.2,10.9,31,154,-14.1,7.1
Feb-95,8,12,-4,9.9,28,66,-12.5,5.3
Mar-95,2,5,-2.6,15.3,28,29,-10.4,11.3
Apr-95,0,0,1.6,22.8,5,0,-0.3,22.6
May-95,0,0,8.1,25.1,0,0,5.3,25.1
Jun-95,0,0,10.9,24.7,0,0,9.1,25.1
Jul-95,0,0,17.6,36.1,0,0,13.5,32.5
Aug-95,0,0,19,34.9,0,0,16.2,28.2
Sep-95,0,0,11.9,28.8,0,0,9,26.9
Oct-95,0,0,7.7,26.4,0,0,4,22.5
Nov-95,0,0,0.7,18.8,10,30,-2,17
Dec-95,10,13,-4.4,11.6,25,256,-7.9,8.2
Jan-96,16,26,-5.9,13,31,183,-12.5,5.2
Feb-96,10,8,-6.5,18.5,29,138,-14.4,9.9
Mar-96,7,7,-3.9,14.9,31,61,-10,10.2
Apr-96,2,1,0.1,23,16,12,-1.5,21.9
May-96,0,0,4.3,29.5,0,0,2.9,29.1
Jun-96,0,0,10.6,27,0,0,6.1,26.6
Jul-96,0,0,15.4,33.2,0,0,11.5,30.3
Aug-96,0,0,15.9,32.8,0,0,13.2,31.9
Sep-96,0,0,11.2,30.2,0,0,9.4,26.6
Oct-96,0,0,4.9,24.6,1,3,-0.1,21
Nov-96,0,0,0.2,18.7,12,35,-5.2,15.2
Dec-96,2,0,-2.9,15.6,30,96,-10.1,9.2
Jan-97,14,39,-4.5,15.6,31,35,-10.8,6
Feb-97,12,40,-4.4,12.8,28,146,-7.5,9.6
Mar-97,0,0,-4.3,19.5,31,60,-9.3,14.1
Apr-97,0,0,1.8,26.8,5,3,-1.7,23.1
May-97,0,0,6.9,27.4,0,0,3.1,26.1
Jun-97,0,0,9.3,28.7,0,0,8.2,30.2
Jul-97,0,0,17,32.1,0,0,14,32.6
Aug-97,0,0,15.7,34.6,0,0,13.5,31.4
Sep-97,0,0,9.2,34.8,0,0,8.3,27.8
Oct-97,0,0,3.9,28.3,0,0,0.6,21.4
Nov-97,0,0,1.6,20.5,1,1,0.1,17.6
Dec-97,3,7,-3.5,15.2,29,69,-7.1,11.1
Jan-98,28,67,-6.7,11.8,31,156,-14.5,2.7
Feb-98,9,10,-3.9,11.9,28,117,-15.8,5
Mar-98,3,3,-3,21.9,30,63,-7.7,14.7
Apr-98,3,17,-0.2,26,1,2,-2.1,28
May-98,0,0,5.7,28.3,0,0,2.4,27.9
Jun-98,0,0,9.8,29.2,0,0,7.8,27.3
Jul-98,0,0,14.9,33.6,0,0,12.6,31.5
Aug-98,0,0,15.6,31.6,0,0,14.6,28.7
Sep-98,0,0,16.3,30.5,0,0,9.7,29.8
Oct-98,0,0,6.6,29.9,0,0,5.5,23.9
Nov-98,1,0,-0.7,21.8,17,64,-6.2,17.6
Dec-98,0,0,-2.7,15.4,31,159,-8.9,8.8
Jan-99,11,4,-4.7,11.6,31,194,-13.5,5.4
Feb-99,6,11,-5.5,14.8,28,112,-12.5,9.2
Mar-99,5,7,-3,17.4,31,90,-8.7,12.8
Apr-99,2,0,0.1,20.9,12,13,-3.9,23.8
May-99,0,0,6.1,25.6,0,0,3.5,29.2
Jun-99,0,0,12.7,29.1,0,0,9,28.9
Jul-99,0,0,14.9,33.9,0,0,12.7,33.1
Aug-99,0,0,19.7,32.9,0,0,17.1,35.2
Sep-99,0,0,13.2,31.9,0,0,8.8,29.4
Oct-99,0,0,3.8,29.6,0,0,1.1,21.5
Nov-99,0,0,-0.5,19.8,9,29,-5.7,16.6
Dec-99,7,3,-2.9,13.6,31,101,-8.1,7.2
Jan-00,7,9,-6.1,13.9,31,202,-14.7,6.5
Feb-00,12,4,-4.6,9.4,29,226,-11.8,2.6
Mar-00,5,21,-3.6,18.6,31,67,-9.7,11.2
Apr-00,0,0,1.4,19.4,11,5,-1.1,15.2
May-00,0,0,9.1,30.2,0,0,5.3,27.5
Jun-00,0,0,11.7,29.5,0,0,9.7,29.9
Jul-00,0,0,18.4,33.5,0,0,15.3,36
Aug-00,0,0,18.8,34.9,0,0,16.5,35.9
Sep-00,0,0,13.3,34.4,0,0,10.4,27.2
Oct-00,0,0,5.2,24.3,1,0,0.7,22.3
Nov-00,0,0,0.4,19.8,15,113,-4.5,18.3
Dec-00,10,13,-4.6,17.2,31,95,-10.5,7
Jan-01,29,70,-7.3,9.6,31,128,-15,8.1
Feb-01,13,18,-7.1,13.9,28,92,-12.6,4.3
Mar-01,13,34,-4.4,19.6,31,64,-11.9,12.7
Apr-01,0,0,-0.9,22,2,2,-0.9,24.5
May-01,0,0,6.1,24.8,0,0,2.2,29.8
Jun-01,0,0,12.8,30.9,0,0,8.6,29.3
Jul-01,0,0,17.7,35.6,0,0,12.7,28.9
Aug-01,0,0,15.1,31.6,0,0,14.7,29.1
Sep-01,0,0,8.2,28.6,0,0,6.7,26
Oct-01,0,0,6.6,25.6,0,0,2.5,19.8
Nov-01,0,0,1.4,20.7,8,34,-5.1,16.4
Dec-01,12,21,-3.3,11.2,31,200,-10.8,5.3
Jan-02,8,10,-3.4,13.2,31,71,-11.7,6.9
Feb-02,5,0,-4.8,11.8,28,73,-10,9.8
Mar-02,0,0,-1.9,20.5,26,37,-8.7,12.8
Apr-02,0,0,3.8,26.1,0,0,1,20.3
May-02,0,0,7.4,25.7,0,0,5.5,24.5
Jun-02,0,0,11.2,29.3,0,0,6.9,28.5
Jul-02,0,0,17,32.7,0,0,14,30.3
Aug-02,0,0,17.1,36.1,0,0,14.4,30.6
Sep-02,0,0,11.3,31.5,0,0,8.2,28.8
Oct-02,0,0,4.1,27.9,0,0,3.2,25.4
Nov-02,1,0,-1.2,19.6,15,25,-5.4,13.9
Dec-02,10,8,-4.5,16.1,24,112,-10.1,10
Jan-03,15,30,-5.5,11.8,31,144,-14.8,5.9
Feb-03,3,3,-4.4,13.1,28,120,-13,6.7
Mar-03,6,1,-4.3,15.8,31,64,-10.3,12.7
Apr-03,0,0,2.1,26.9,6,0,-1.8,21
May-03,0,0,4.7,23.7,0,0,2.2,26.8
Jun-03,0,0,11.7,31.8,0,0,7.2,27.7
Jul-03,0,0,14.9,30.1,0,0,12.3,26.2
Aug-03,0,0,15.2,34,0,0,14.2,29.1
Sep-03,0,0,9.6,31,0,0,8.5,27.9
Oct-03,0,0,5.8,24.2,0,0,3.7,21.2
Nov-03,0,0,0.7,22.5,5,2,-4.4,22.4
Dec-03,4,7,-2.7,15,26,67,-6.9,7.4
Jan-04,10,13,-4.4,9.9,31,156,-11,4.5
Feb-04,12,11,-4.9,16.2,29,131,-9.2,5.7
Mar-04,3,7,-3.6,17.4,30,30,-10.2,13.7
Apr-04,1,0,0.7,24.9,4,11,-3.6,19.9
May-04,0,0,6.6,27.2,0,0,4.4,28.2
Jun-04,0,0,11.4,31.3,0,0,9.1,30.6
Jul-04,0,0,15.4,32.3,0,0,11.3,33.2
Aug-04,0,0,16.4,34,0,0,12.7,33.2
Sep-04,0,0,14.8,32.4,0,0,11,28.6
Oct-04,0,0,2.7,25.7,3,8,0.3,24.3
Nov-04,0,0,1.1,19.3,4,18,-5.2,19.2
Dec-04,3,26,-4.4,21.6,30,110,-9.2,10.9
Jan-05,23,16,-5.6,11.1,31,237,-11.7,7
Feb-05,17,40,-4.7,8.6,28,139,-11.1,3.2
Mar-05,5,28,-4.6,13.5,31,95,-11,9.2
Apr-05,0,0,0.8,27.5,17,10,-3.8,18.9
May-05,0,0,5.7,25.9,0,0,3.2,24
Jun-05,0,0,12.7,30.5,0,0,10.5,31.5
Jul-05,0,0,14.9,33.5,0,0,12.9,30
Aug-05,0,0,19.4,34.2,0,0,14.8,31.6
Sep-05,0,0,12.8,31.6,0,0,10.6,30
Oct-05,0,0,6.1,27.7,0,0,4.8,23
Nov-05,0,0,1,20.8,8,4,-1.6,19.8
Dec-05,18,28,-3.9,10.3,26,147,-9.8,6.3
Jan-06,13,5,-6.3,9.7,31,189,-12.3,3.3
Feb-06,14,34,-7.5,15.1,28,104,-11,7.7
Mar-06,4,1,-2.9,16.8,31,104,-5.8,8.7
Apr-06,0,0,-0.1,21.3,10,26,-2.5,17.8
May-06,0,0,5.1,24.5,0,0,4.2,26.3
Jun-06,0,0,12.1,31.9,0,0,7.3,26.7
Jul-06,0,0,17.3,33.6,0,0,14.7,30
Aug-06,0,0,16.7,33.9,0,0,17.7,32.8
Sep-06,0,0,12.6,31.7,0,0,9.6,26.8
Oct-06,0,0,6.5,24.7,0,0,0.1,23.2
Nov-06,0,0,0.2,20.8,10,25,-2.4,16.9
Dec-06,1,0,-1.3,16.5,31,136,-6.4,6.8
Jan-07,2,0,-1.8,12.7,31,134,-9.4,6
Feb-07,4,4,-3,14.5,28,153,-9.2,8.9
Mar-07,4,6,-2.6,17.3,31,91,-7.4,13.8
Apr-07,0,0,0.2,24.1,7,4,-0.8,19.6
May-07,0,0,8.2,25.9,0,0,5.9,26.4
Jun-07,0,0,12.3,28.7,0,0,9.4,28.7
Jul-07,0,0,15.9,30.7,0,0,13.3,30.8
Aug-07,0,0,16.3,37.2,0,0,16,34.2
Sep-07,0,0,13.9,32.8,0,0,9,31.1
Oct-07,0,0,7.4,24.5,0,0,2.4,22.3
Nov-07,3,0,-0.8,19.5,8,10,-6.1,16.2
Dec-07,1,0,-1.6,13.7,25,63,-7.4,6.6
Jan-08,10,3,-4.9,10.7,31,184,-12.6,1.8
Feb-08,12,13,-4.3,11.9,29,145,-13.2,6.3
Mar-08,0,0,-1.4,18.3,27,21,-6.6,15.1
Apr-08,0,0,2.5,21.8,0,0,0.9,24.5
May-08,0,0,5.1,26.3,0,0,1.9,26.3
Jun-08,0,0,11.9,28.3,0,0,8.4,26.8
Jul-08,0,0,14.7,30.7,0,0,12.7,31.4
Aug-08,0,0,15.5,33.6,0,0,13.3,31
Sep-08,0,0,10.1,30.2,0,0,8,29.2
Oct-08,0,0,5.3,23.7,0,0,2.4,22.3
Nov-08,2,0,0,21.2,12,32,-5.8,18.7
Dec-08,8,7,-2.8,15.8,27,116,-9.7,11.8
Jan-09,8,6,-2.9,13.3,31,99,-9.9,7.6
Feb-09,8,11,-3.8,16.4,28,174,-8.9,8.1
Mar-09,3,2,-1.3,24.2,31,69,-6.2,9.7
Apr-09,0,0,2.9,26.1,3,2,-1.1,23.4
May-09,0,0,6.5,29,0,0,3.8,28.4
Jun-09,0,0,11,32.8,0,0,11,31.2
Jul-09,0,0,16.2,31.4,0,0,14.4,29.1
Aug-09,0,0,15.3,31.2,0,0,14.7,30.9
Sep-09,0,0,13.6,27,0,0,10,26
Oct-09,0,0,7.4,24.7,0,0,2.4,23.5
Nov-09,0,0,0,24,4,8,-1.9,18.5
Dec-09,6,3,-2.5,15.1,24,98,-8.9,9.1
Jan-10,5,1,-4.6,15.1,31,154,-9.1,5.3
Feb-10,14,18,-6.1,13.3,28,99,-12.6,9.8
Mar-10,10,30,-1.8,16.1,31,123,-9.4,9.6
Apr-10,1,0,0.5,18.5,6,3,-0.8,15.1
May-10,0,0,6.1,28.1,0,0,4.5,24.9
Jun-10,0,0,8.6,30.1,0,0,7.1,31.6
Jul-10,0,0,18.2,35,0,0,15.4,32
Aug-10,0,0,22.6,34.5,0,0,16.9,34.1
Sep-10,0,0,11.1,35.5,0,0,8.5,31.7
Oct-10,0,0,4.2,26.7,3,9,0.2,22.5
Nov-10,0,0,1.9,18.9,4,25,-4,17.3
Dec-10,7,8,-2,19.9,27,58,-8.2,12.2
Jan-11,10,9,-7,9.1,31,172,-10.1,3
Feb-11,7,20,-2.6,14,28,111,-8.8,9.3
Mar-11,11,18,-4.1,19.6,31,101,-7.7,10.5
Apr-11,0,0,-0.9,21.3,8,14,-4.2,18.9
May-11,0,0,7.7,27.5,0,0,3.3,24.4
Jun-11,0,0,9.2,34.4,0,0,7,30.3
Jul-11,0,0,16.1,34.6,0,0,14,30.8
Aug-11,0,0,17.2,35.4,0,0,16.8,33.8
Sep-11,0,0,12.6,32.9,0,0,9.8,32
Oct-11,0,0,7.1,27.2,0,0,3.7,20.7
Nov-11,0,0,1.5,22.6,9,32,-5.5,17.7
Dec-11,9,8,-2.9,15.2,31,106,-9.6,7.7
Jan-12,17,22,-7,10.4,31,99,-11.5,3.3
Feb-12,16,32,-7.4,8.6,29,81,-12.1,4.8
Mar-12,13,47,-2.9,20.3,31,62,-10,14.4
Apr-12,0,0,-0.6,21.8,11,19,-4.4,25
May-12,0,0,8.6,25.2,0,0,4.6,25.8
Jun-12,0,0,12.5,27.9,0,0,9.3,30
Jul-12,0,0,15.8,33.8,0,0,13.5,32.5
Aug-12,0,0,19.8,33.9,0,0,16,32.9
Sep-12,0,0,14,33.5,0,0,12.7,31.6
Oct-12,0,0,7.2,29,0,0,3.9,23
Nov-12,0,0,2.3,19.7,13,13,-3.5,14.2
Dec-12,11,9,-3.4,13.8,31,212,-13.5,7.1
Jan-13,21,55,-5.8,8.2,31,125,-12.2,2.7
Feb-13,16,22,-5.8,12.9,28,168,-11.3,7.6
Mar-13,1,0,-3.2,18.5,31,105,-7.8,9
Apr-13,1,1,0.6,25.1,13,5,-1.5,16.4
May-13,0,0,5.3,26.7,0,0,2.2,27.6
Jun-13,0,0,10.3,27.9,0,0,9.7,29.2
Jul-13,0,0,17.3,32.9,0,0,15.9,33.1
Aug-13,0,0,18.3,35.6,0,0,14.9,31.7
Sep-13,0,0,11.8,32.2,0,0,6.6,28.6
Oct-13,0,0,7.7,27.6,0,0,3.7,24.6
Nov-13,0,0,0.7,20.9,7,20,-3,16.4
Dec-13,6,11,-1.8,14.3,28,101,-5.6,11
Jan-14,7,12,-4.6,11.9,31,148,-11.4,8.5
Feb-14,20,64,-4.9,13.2,28,118,-14.3,7.8
Mar-14,7,6,-3.4,22.8,31,84,-8,13.6
Apr-14,0,0,2.1,22.6,8,7,-0.8,24.7
May-14,0,0,6.7,30.7,0,0,4.9,30
Jun-14,0,0,16.2,32.2,0,0,13.3,33.7
Jul-14,0,0,18.4,32.8,0,0,16.6,32.4
Aug-14,0,0,17.7,35.4,0,0,14.2,31.7
Sep-14,0,0,13.1,29.4,0,0,9.4,27.5
Oct-14,0,0,7.4,26.5,0,0,0.6,21.4
Nov-14,0,0,1.8,21.2,7,32,-2.8,17.4
Dec-14,15,14,-4.3,14.2,25,130,-8.2,11.3
Jan-15,7,24,-3.4,11.8,31,127,-9.4,5.3
Feb-15,11,4,-4.3,13.8,28,39,-10.1,7.6
Mar-15,4,3,-1.6,19.7,26,39,-4.5,16.3
Apr-15,0,0,1.3,26.9,0,0,-1.3,25.9
May-15,0,0,9.1,30.6,0,0,6.5,29.6
Jun-15,0,0,10.8,29,0,0,9.4,27.8
Jul-15,0,0,17.1,35.1,0,0,11.5,31.3
Aug-15,0,0,17.5,36.6,0,0,14.7,34.5
Sep-15,0,0,13.8,32.3,0,0,9.8,27
Oct-15,0,0,5.8,26.5,1,0,1.3,22.1
Nov-15,0,0,0.8,20.8,7,49,-6.9,18.5
Dec-15,0,0,-1.1,14,31,101,-8,10.7
Jan-16,17,43,-3.6,12.7,31,98,-10.7,4
Feb-16,3,0,-3.9,20.9,29,113,-10.9,8.3
Mar-16,1,6,-1.9,18,28,67,-6.9,13.5
Apr-16,0,0,2.2,23.2,1,0,0.1,21.1
May-16,0,0,9.1,31.7,0,0,1.7,29.7
Jun-16,0,0,10.9,30.1,0,0,8.4,28.4
Jul-16,0,0,17.4,31.2,0,0,13.4,30.5
Aug-16,0,0,19.2,35.3,0,0,15.1,31.9
Sep-16,0,0,12.4,33,0,0,9.5,31.1
Oct-16,0,0,4.7,28.1,3,4,0.5,24.7
Nov-16,0,0,-1.6,21.2,13,39,-7,14.5
Dec-16,4,4,-1.9,17.9,29,198,-9.2,11.9
Jan-17,12,8,-5.5,12.6,31,106,-12.8,4.7
Feb-17,7,9,-3.7,17.2,28,88,-10.8,8.3
Mar-17,2,0,-1.1,15.5,31,73,-5.7,9.6
Apr-17,0,0,1.4,25.5,8,4,-2.4,20
May-17,0,0,7.2,29.6,0,0,4.2,27.7
Jun-17,0,0,10.5,27.5,0,0,7.2,29.6
Jul-17,0,0,19.1,33,0,0,16,34.9
Aug-17,0,0,17,32.6,0,0,12.5,29.6
Sep-17,0,0,10.7,29.7,0,0,7.6,26.9
Oct-17,0,0,7.4,26.8,0,0,1.4,22.3
Nov-17,0,0,-0.5,20.2,12,62,-6.6,17.4
Dec-17,6,10,-3.1,13.9,30,102,-9,8.8
Jan-18,13,32,-6.7,12.2,31,147,-12.7,5.9
Feb-18,15,32,-6,11.4,28,78,-11.1,4.4
Mar-18,0,0,-2,22.2,30,74,-7.8,16.4
Apr-18,0,0,3.8,29.9,1,2,-0.3,24.5
May-18,0,0,5.6,30.7,0,0,5.6,28.2
Jun-18,0,0,11.5,32.2,0,0,7.2,30.7
Jul-18,0,0,16.5,36.7,0,0,10.5,33.9
Aug-18,0,0,15.7,37.3,0,0,12.8,32.5
Sep-18,0,0,12.9,32.1,0,0,10.2,28.2
Oct-18,0,0,8,29.3,0,0,4.3,22.1
Nov-18,0,0,2.3,19.4,7,18,-4,17.9
Dec-18,9,11,-3.3,17.2,28,106,-8.9,13
Jan-19,5,12,-3.6,10.1,31,125,-12.3,4.1
Feb-19,1,0,-3.4,16.8,28,52,-13.1,8.1
Mar-19,2,3,-1,17.8,26,33,-4.6,13.7
Apr-19,4,6,-1,22.4,3,1,-1.4,23.2
May-19,0,0,6.5,32.1,0,0,5.9,34.2
Jun-19,0,0,11.7,27.7,0,0,9.7,29.4
Jul-19,0,0,16,36.1,0,0,14.8,33.5
Aug-19,0,0,20.7,35.1,0,0,15.7,34.2
Sep-19,0,0,14.1,33.9,0,0,9.8,32.6
Oct-19,0,0,6.7,28.9,0,0,3.8,25.7
Nov-19,0,0,-1.6,21.4,14,44,-5.4,16.8
Dec-19,0,0,-1.9,16.2,29,54,-7.7,10.2
Jan-20,2,3,-1.8,11.2,31,85,-8.8,3.9
Feb-20,6,6,-4.7,15.1,29,195,-14.9,8.5
Mar-20,0,0,0.1,18.5,27,49,-3.8,14.1
Apr-20,0,0,2.2,21.5,0,0,0,20.9
May-20,0,0,6.9,30.8,0,0,4.8,29.9
Jun-20,0,0,14.6,32,0,0,10.9,30
Jul-20,0,0,15.7,30.2,0,0,15.3,29.3
Aug-20,0,0,19.8,35.5,0,0,13.2,34.3
Sep-20,0,0,14.4,34,0,0,10.6,32.7
Oct-20,0,0,6.9,24.3,0,0,4.6,22.8
Nov-20,0,0,0.9,22.8,9,19,-1.2,18.9
Dec-20,13,24,-3.6,14.4,21,50,-12.6,7.6